=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
IDENTIFICADOR             k                    36
ASIGNACION                <-                   36
IDENTIFICADOR             potencia             36
INICIO_PARENTESIS         <|                   36
IDENTIFICADOR             x                    36
COMA                      ,                    36
NUMERO_ENTERO             2                    36
FIN_PARENTESIS            |>                   36
DELIMITADOR_EXP           !                    36
SWITCH                    switch               37
SEPARADOR                 ~                    37
INICIO_PARENTESIS         <|                   37
IDENTIFICADOR             k                    37
FIN_PARENTESIS            |>                   37
INICIO_BLOQUE             |:                   37
CASE                      case                 38
SEPARADOR                 ~                    38
NUMERO_ENTERO             16                   38
DOS_PUNTOS                :                    38
DO                        do                   39
INICIO_BLOQUE             |:                   39
IDENTIFICADOR             y                    40
ASIGNACION                <-                   40
IDENTIFICADOR             y                    40
MENOS                     -                    40
NUMERO_ENTERO             1                    40
DELIMITADOR_EXP           !                    40
IF                        if                   41
INICIO_PARENTESIS         <|                   41
IDENTIFICADOR             validar              41
INICIO_PARENTESIS         <|                   41
IDENTIFICADOR             x                    41
COMA                      ,                    41
IDENTIFICADOR             y                    41
COMA                      ,                    41
IDENTIFICADOR             z                    41
FIN_PARENTESIS            |>                   41
FIN_PARENTESIS            |>                   41
INICIO_BLOQUE             |:                   41
IF                        if                   42
INICIO_PARENTESIS         <|                   42
EQUAL                     equal                42
INICIO_PARENTESIS         <|                   42
BOOLEANO                  false                42
COMA                      ,                    42
BOOLEANO                  true                 42
FIN_PARENTESIS            |>                   42
FIN_PARENTESIS            |>                   42
INICIO_BLOQUE             |:                   42
COUT                      cout                 43
SEPARADOR                 ~                    43
CADENA                    fibonacci de y es true 43
DELIMITADOR_EXP           !                    43
FIN_BLOQUE                :|                   44
ELSE                      else                 44
INICIO_BLOQUE             |:                   44
COUT                      cout                 45
SEPARADOR                 ~                    45
CADENA                    fibonacci de y es false 45
DELIMITADOR_EXP           !                    45
FIN_BLOQUE                :|                   46
FIN_BLOQUE                :|                   47
ELSE                      else                 47
INICIO_BLOQUE             |:                   47
COUT                      cout                 48
SEPARADOR                 ~                    48
CADENA                    no valida            48
DELIMITADOR_EXP           !                    48
FIN_BLOQUE                :|                   49
FIN_BLOQUE                :|                   50
WHILE                     while                50
INICIO_PARENTESIS         <|                   50
GREATER_T                 greather_t           50
INICIO_PARENTESIS         <|                   50
IDENTIFICADOR             y                    50
COMA                      ,                    50
NUMERO_ENTERO             0                    50
FIN_PARENTESIS            |>                   50
FIN_PARENTESIS            |>                   50
DELIMITADOR_EXP           !                    50
BREAK                     break                51
DELIMITADOR_EXP           !                    51
DEFAULT                   default              52
DOS_PUNTOS                :                    52
COUT                      cout                 53
SEPARADOR                 ~                    53
CADENA                    k no es 16           53
DELIMITADOR_EXP           !                    53
FIN_BLOQUE                :|                   54
FIN_BLOQUE                :|                   55

=== FIN DEL ANALISIS ===
